,date,cases_new
0,2021-01-01,2068
1,2021-01-02,2295
2,2021-01-03,1704
3,2021-01-04,1741
4,2021-01-05,2027
5,2021-01-06,2593
6,2021-01-07,3027
7,2021-01-08,2643
8,2021-01-09,2451
9,2021-01-10,2433
10,2021-01-11,2232
11,2021-01-12,3309
12,2021-01-13,2985
13,2021-01-14,3337
14,2021-01-15,3211
15,2021-01-16,4029
16,2021-01-17,3339
17,2021-01-18,3306
18,2021-01-19,3631
19,2021-01-20,4008
20,2021-01-21,3170
21,2021-01-22,3631
22,2021-01-23,4275
23,2021-01-24,3346
24,2021-01-25,3048
25,2021-01-26,3585
26,2021-01-27,3680
27,2021-01-28,4094
28,2021-01-29,5725
29,2021-01-30,5728
30,2021-01-31,5298
31,2021-02-01,4214
32,2021-02-02,3455
33,2021-02-03,4284
34,2021-02-04,4571
35,2021-02-05,3391
36,2021-02-06,3847
37,2021-02-07,3731
38,2021-02-08,3100
39,2021-02-09,2764
40,2021-02-10,3288
41,2021-02-11,3384
42,2021-02-12,3318
43,2021-02-13,3499
44,2021-02-14,2464
45,2021-02-15,2176
46,2021-02-16,2720
47,2021-02-17,2998
48,2021-02-18,2712
49,2021-02-19,2936
50,2021-02-20,2461
51,2021-02-21,3297
52,2021-02-22,2192
53,2021-02-23,2468
54,2021-02-24,3545
55,2021-02-25,1924
56,2021-02-26,2253
57,2021-02-27,2364
58,2021-02-28,2437
59,2021-03-01,1828
60,2021-03-02,1555
61,2021-03-03,1745
62,2021-03-04,2063
63,2021-03-05,2154
64,2021-03-06,1680
65,2021-03-07,1683
66,2021-03-08,1529
67,2021-03-09,1280
68,2021-03-10,1448
69,2021-03-11,1647
70,2021-03-12,1575
71,2021-03-13,1470
72,2021-03-14,1354
73,2021-03-15,1208
74,2021-03-16,1063
75,2021-03-17,1219
76,2021-03-18,1213
77,2021-03-19,1576
78,2021-03-20,1671
79,2021-03-21,1327
80,2021-03-22,1116
81,2021-03-23,1384
82,2021-03-24,1268
83,2021-03-25,1360
84,2021-03-26,1275
85,2021-03-27,1199
86,2021-03-28,1302
87,2021-03-29,941
88,2021-03-30,1133
89,2021-03-31,1482
90,2021-04-01,1178
91,2021-04-02,1294
92,2021-04-03,1638
93,2021-04-04,1349
94,2021-04-05,1070
95,2021-04-06,1300
96,2021-04-07,1139
97,2021-04-08,1285
98,2021-04-09,1854
99,2021-04-10,1510
100,2021-04-11,1739
101,2021-04-12,1317
102,2021-04-13,1767
103,2021-04-14,1889
104,2021-04-15,2148
105,2021-04-16,2551
106,2021-04-17,2331
107,2021-04-18,2195
108,2021-04-19,2078
109,2021-04-20,2341
110,2021-04-21,2340
111,2021-04-22,2875
112,2021-04-23,2847
113,2021-04-24,2717
114,2021-04-25,2690
115,2021-04-26,2776
116,2021-04-27,2733
117,2021-04-28,3142
118,2021-04-29,3332
119,2021-04-30,3788
120,2021-05-01,2881
121,2021-05-02,3418
122,2021-05-03,2500
123,2021-05-04,3120
124,2021-05-05,3744
125,2021-05-06,3551
126,2021-05-07,4498
127,2021-05-08,4519
128,2021-05-09,3733
129,2021-05-10,3807
130,2021-05-11,3973
131,2021-05-12,4765
132,2021-05-13,4855
133,2021-05-14,4113
134,2021-05-15,4140
135,2021-05-16,3780
136,2021-05-17,4446
137,2021-05-18,4865
138,2021-05-19,6075
139,2021-05-20,6806
140,2021-05-21,6493
141,2021-05-22,6320
142,2021-05-23,6976
143,2021-05-24,6509
144,2021-05-25,7289
145,2021-05-26,7478
146,2021-05-27,7857
147,2021-05-28,8290
148,2021-05-29,9020
149,2021-05-30,6999
150,2021-05-31,6824
151,2021-06-01,7105
152,2021-06-02,7703
153,2021-06-03,8209
154,2021-06-04,7748
155,2021-06-05,7452
156,2021-06-06,6241
157,2021-06-07,5271
158,2021-06-08,5566
159,2021-06-09,6239
160,2021-06-10,5671
161,2021-06-11,6849
162,2021-06-12,5793
163,2021-06-13,5304
164,2021-06-14,4949
165,2021-06-15,5419
166,2021-06-16,5150
167,2021-06-17,5738
168,2021-06-18,6440
169,2021-06-19,5911
170,2021-06-20,5293
171,2021-06-21,4611
172,2021-06-22,4743
173,2021-06-23,5244
174,2021-06-24,5841
175,2021-06-25,5812
176,2021-06-26,5803
177,2021-06-27,5586
178,2021-06-28,5218
179,2021-06-29,6437
180,2021-06-30,6276
181,2021-07-01,6988
182,2021-07-02,6982
183,2021-07-03,6658
184,2021-07-04,6045
185,2021-07-05,6387
186,2021-07-06,7654
187,2021-07-07,7097
188,2021-07-08,8868
189,2021-07-09,9180
190,2021-07-10,9353
191,2021-07-11,9105
192,2021-07-12,8574
193,2021-07-13,11079
194,2021-07-14,11618
195,2021-07-15,13215
196,2021-07-16,12541
197,2021-07-17,12528
198,2021-07-18,10710
199,2021-07-19,10972
200,2021-07-20,12366
201,2021-07-21,11985
202,2021-07-22,13034
203,2021-07-23,15573
204,2021-07-24,15902
205,2021-07-25,17045
206,2021-07-26,14516
207,2021-07-27,16117
208,2021-07-28,17405
209,2021-07-29,17170
210,2021-07-30,16840
211,2021-07-31,17786
212,2021-08-01,17150
213,2021-08-02,15764
214,2021-08-03,17105
215,2021-08-04,19819
216,2021-08-05,20596
217,2021-08-06,20889
218,2021-08-07,19257
219,2021-08-08,18688
220,2021-08-09,17236
221,2021-08-10,19991
222,2021-08-11,20780
223,2021-08-12,21668
224,2021-08-13,21468
225,2021-08-14,20670
226,2021-08-15,20546
227,2021-08-16,19740
228,2021-08-17,19631
229,2021-08-18,22242
230,2021-08-19,22948
231,2021-08-20,23564
232,2021-08-21,22262
233,2021-08-22,19807
234,2021-08-23,17672
235,2021-08-24,20837
236,2021-08-25,22642
237,2021-08-26,24599
238,2021-08-27,22070
239,2021-08-28,22597
240,2021-08-29,20579
241,2021-08-30,19268
242,2021-08-31,20897
243,2021-09-01,18762
244,2021-09-02,20988
245,2021-09-03,19378
246,2021-09-04,19057
247,2021-09-05,20396
248,2021-09-06,17352
249,2021-09-07,18547
250,2021-09-08,19733
251,2021-09-09,19307
252,2021-09-10,21176
253,2021-09-11,19550
254,2021-09-12,19198
255,2021-09-13,16073
256,2021-09-14,15669
257,2021-09-15,19495
258,2021-09-16,18815
259,2021-09-17,17577
260,2021-09-18,15549
261,2021-09-19,14954
262,2021-09-20,14345
263,2021-09-21,15759
264,2021-09-22,14990
265,2021-09-23,13754
266,2021-09-24,14554
267,2021-09-25,13899
268,2021-09-26,13104
269,2021-09-27,10959
270,2021-09-28,11332
271,2021-09-29,12434
272,2021-09-30,12735
273,2021-10-01,11889
274,2021-10-02,10915
275,2021-10-03,9066
276,2021-10-04,8075
277,2021-10-05,8817
278,2021-10-06,9380
279,2021-10-07,9890
280,2021-10-08,9751
281,2021-10-09,8743
282,2021-10-10,7373
283,2021-10-11,6709
